192,1,33,f,White,3,1
193,0,40,f,Hispanic,4,5
194,1,25,f,White,3,2
195,0,26,m,White,3,4
196,1,26,m,Caucasian,3,2
197,0,37,f,White,3,6
198,1,31,f,White,4,2
199,0,22,m,Caucasian,1,2
200,1,27,m,white,5,4
201,0,21,f,Vietnamese,1,4
202,1,36,m,Caucasian,5,3
203,0,24,m,Asian,11,6
204,1,24,f,White,1,2
205,0,31,m,White,4,1
206,1,35,m,asian,1,2
207,0,29,m,Asian,3,1
208,1,35,f,white,5,2
209,0,38,m,asian,5,2
210,1,42,m,black,5,4
212,1,40,f,Black,4,4
213,0,26,m,black,3,3
214,1,40,m,black,7,7
216,1,31,m,White,5,2
217,0,24,m,Asian American,0,1
218,1,29,f,Jewish,0,1
220,1,35,f,white,3,3
221,0,52,m,white,1,1
222,1,32,m,mixed,2,2
223,0,23,f,White,2,4
224,1,46,f,Black American,6,3
225,0,31,m,Caucasion,5,2
227,0,34,m,Asian,5,1
228,1,30,f,Caucasian,8,3
229,0,47,f,caucasian,11,4
230,1,21,f,White,3,4
231,0,25,m,White,5,2
232,1,35,m,White,2,5
234,1,29,f,Black or African American,3,1
235,0,31,m,white,1,1
236,1,28,m,White,10,3
237,0,23,m,Mixed,9,5
238,1,22,f,White,3,1
239,0,22,f,white,3,2
240,1,29,m,white,3,1
241,0,29,m,white,2,2
242,1,62,f,Caucasian,6,2
243,0,42,m,caucasian,11,4
245,0,36,f,white,1,4
247,0,26,m,Asian or Pacific Islander,2,3
249,0,25,m,black,3,2
250,1,28,m,asian vietnamese,1,3
251,0,34,m,White,2,4
252,1,47,f,white,3,3
253,0,27,f,white,3,3
254,1,28,f,African,5,4
255,0,28,m,White,1,3
,,30.69747899,96,,4,2
,,,142,,,
