Subject,cond,age,gender,ethnicity,income,house
264,1,20,m,White,3,3
265,0,35,m,Hispanic,5,4
266,1,25,f,Caucasian,2,1
267,0,43,m,white,2,1
268,1,23,f,White,1,2
269,0,20,m,Pacific Islander,2,6
270,1,30,f,white,3,3
271,0,22,f,Caucasian,3,2
272,1,21,f,Caucasian,1,6
273,0,32,m,Pacific Islander,3,2
274,1,28,m,White,4,2
275,0,20,f,White,10,4
276,1,26,m,Caucasian,2,2
277,0,48,f,White/American,2,3
278,1,40,f,White,2,4
279,0,49,f,white,11,2
280,1,51,m,cauc,9,4
281,0,22,f,white,1,3
282,1,29,m,White,4,3
284,1,24,f,Asian,9,7
285,0,20,m,Caucasian,4,4
287,0,25,f,White,4,2
288,1,40,f,White,3,3
289,0,19,m,White,1,3
290,1,23,m,Caucasian,5,4
291,0,32,f,white ,3,1
292,1,23,m,White,5,3
293,0,29,f,white,7,2
294,1,32,f,hispanic,8,6
295,0,21,m,White,11,2
296,1,35,f,Caucasian,6,2
297,0,40,m,white,9,4
298,1,23,m,white,3,1
299,0,41,m,caucasian,5,3
300,1,37,m,caucasion,4,3
301,0,34,f,Caucasian,6,3
302,1,35,m,White,6,3
303,0,43,f,Caucasian,7,3
304,1,22,f,White,3,4
305,0,38,f,hispanic,4,1
306,1,31,f,white,5,3
307,0,28,f,Caucasian,9,2
308,1,21,m,White,5,2
309,0,21,f,white,0,1
310,1,25,f,white,6,2
311,0,18,m,Caucasian ,8,4
312,1,66,f,Caucasian,3,2
313,0,28,m,White,0,1
314,1,23,f,white,1,4
315,0,25,m,White,10,3
316,1,32,m,White,3,1
317,0,19,m,Caucasian,7,5
318,1,36,f,white,9,3
319,0,41,m,White,9,4
320,1,31,m,Hispanic,5,4
321,0,44,f,white,6,4
322,1,21,m,white,9,1
323,0,29,f,white,6,2
324,1,28,m,White,3,2
325,0,21,m,Asian,3,5
326,1,22,f,Asian,7,1
327,0,23,m,Asian,1,5
328,1,30,m,Caucasian,1,2
329,0,34,m,white,5,4
330,1,31,m,caucasian,0,1
331,0,20,f,White,1,3
332,1,26,m,HIspanic,5,3
333,0,26,m,Hispanic,3,2
334,1,22,m,White-Caucasian,4,3
335,0,25,m,White,4,4
336,1,35,f,White,7,2
337,0,32,f,white,9,4
338,1,23,m,White/Caucasian,4,3
339,0,21,f,White,11,4
340,1,24,f,African American,5,1
341,0,26,m,White,1,1
342,1,23,m,white,4,4
343,0,24,m,Caucasian,3,1
345,0,25,m,White/Caucasian,5,2
346,1,28,m,White,1,1
347,0,30,m,Caucasian,2,2
348,1,32,m,Caucasian,2,3
349,0,19,f,Caucasian,9,3
350,1,57,f,caucasian,2,2
351,0,34,f,white,5,3
352,1,32,m,white,4,4
353,0,24,m,Hispanic,4,2
354,1,29,m,white,4,1
355,0,24,m,White,5,1
356,1,31,m,Hispanic,1,3
357,0,22,m,hispanic,2,5
358,1,28,m,white,0,3
359,0,26,m,White Caucasian Non Hispanic,1,2
360,1,27,m,white,11,3
361,0,31,f,White,4,3
362,1,30,f,Caucasian,5,2
363,0,25,f,white,2,3
364,1,50,f,caucasion,4,6
365,0,31,m,White,11,3
366,1,18,f,BLACK,4,4
367,0,36,m,Filipino,5,2
368,1,23,f,European/Asian,0,3
369,0,32,f,Filipino,5,2
370,1,31,m,Caucasian,3,2
371,0,29,f,White,0,2
372,1,40,f,Hispanic,7,3
373,0,22,m,Indian,3,1
374,1,18,m,Caucasian,7,4
375,0,65,f,white,8,2
376,1,30,m,white,0,1
377,0,20,m,Asian,3,4
378,1,28,f,White,10,2
379,0,21,m,White,8,4
380,1,25,m,Hispanic,5,2
381,0,26,f,White,4,3
382,1,55,f,White,3,2
383,0,21,f,white,11,5
384,1,26,m,Asian/White,5,2
385,0,25,m,White,5,1
386,1,36,f,mixed,0,1
387,0,40,f,white,2,3
388,1,20,f,White,0,3
389,0,24,m,White,1,2
390,1,19,m,caucasian,1,2
393,0,22,m,White,0,4
394,1,23,m,hispanic,8,4
395,0,30,f,white,5,1
396,1,24,f,white,3,1
397,0,23,m,White,1,1
398,1,47,f,White,11,3
399,0,37,f,white,2,1
400,1,21,m,White,0,1
401,0,22,f,Caucasian,1,1
402,1,18,f,Asian - Chinese,2,5
403,0,28,f,Black,1,1
404,1,39,f,Mixed (Black/White),8,3
405,0,33,f,white,4,5
406,1,18,f,White,5,2
407,0,27,m,Caucasian,4,2
408,1,20,m,White,9,3
409,0,21,m,White,1,1
410,1,27,m,White,5,4
411,0,24,f,White,6,4
412,1,22,m,White,2,2
413,0,29,m,Native american and scottish,2,1
414,1,26,f,White,5,3
415,0,24,m,White,10,4
416,1,19,f,Asian,3,3
417,0,21,m,Asian,3,3
418,1,22,m,white,10,3
419,0,30,m,African,1,1
421,0,26,m,White,2,2
422,1,25,f,White,7,2
423,0,32,m,Asian/Filipino,3,2
424,1,1993,m,White,5,6
425,0,33,m,white,0,1
426,1,27,m,White,5,2
427,0,50,f,White/Caucasian,4,5
428,1,22,f,white,2,2
429,0,24,f,African American,2,1
430,1,40,f,white,6,5
432,1,26,f,Caucasian ,2,5
433,0,21,m,Caucasian,0,3
434,1,24,m,Asian,7,3
435,0,21,f,caucasian,0,1
436,1,42,m,White,2,1
437,0,26,m,Hispanic,1,6
438,1,22,f,white,3,3
439,0,32,m,White,3,6
440,1,54,f,asian,0,2
441,0,22,m,east asian,4,4
443,0,21,m,White,3,5
444,1,24,m,white,2,2
445,0,25,m,Asian,5,4
446,1,48,m,white,1,1
447,0,28,m,White,6,2
448,1,22,m,Caucasian,4,4
450,1,28,m,white,1,4
451,0,24,f,black,7,1
452,1,44,f,Mestiza,3,2
453,0,20,m,White,11,3
455,0,24,m,White,1,3
456,1,22,f,White,4,8
457,0,24,m,White,3,2
458,1,45,m,white,0,1
459,0,30,m,White/Non-Hispanic,2,1
460,1,24,m,Caucasian,1,1
462,1,27,m,white,0,0
463,0,36,f,Caucasian,4,3
464,1,21,m,White,5,2
465,0,45,f,white,4,2
466,1,23,m,Caucasian,6,3
467,0,32,m,white,1,2
468,1,29,f,White,0,2
469,0,22,m,Hispanic,4,6
470,1,33,m,caucasian,7,2
471,0,29,m,White,7,3
472,1,23,m,White,0,1
473,0,26,f,Asian,2,1
474,1,28,m,Multi-racial,3,2
475,0,27,m,Hispanic,5,4
476,1,23,f,white,3,1
477,0,31,m,asian,0,2
478,1,46,m,white,2,1
479,0,22,m,White,5,2
480,1,32,f,white,10,2
481,0,28,m,white,5,3
482,1,23,m,Asian,2,2
483,0,36,f,white,3,1
484,1,27,m,White,3,2
485,0,26,m,White,1,1
486,1,24,m,asian,4,4
487,0,28,m,White,2,3
488,1,38,m,multi ethnic,2,1
490,1,33,m,Hispanic,5,4
492,1,30,f,White,2,3
493,0,26,f,Caucasian,0,2
494,1,22,f,White,1,1
495,0,22,f,white,5,3
496,1,27,m,White,9,2
497,0,24,m,white,10,3
499,0,23,m,Caucasian,0,2
500,1,26,m,White,1,2
501,0,19,f,Caucasian,5,2
502,1,33,f,Caucasian,2,7
503,0,32,m,hispanic,0,5
504,1,22,f,Asian American,10,4
505,0,23,f,White,1,3
506,1,25,m,White,5,3
507,0,34,m,Asian,4,1
508,1,36,f,white,5,4
509,0,25,m,Hispanic,5,3
510,1,25,m,White,3,1
511,0,19,m,White,10,3
512,1,28,f,White,4,3
513,0,67,f,American,4,2
514,1,28,f,White,2,1
515,0,21,f,Hispanic,1,2
516,1,23,f,white,1,3
517,0,30,f,White,1,3
518,1,30,m,White,10,3
519,0,34,f,caucasian,3,3
521,0,25,m,white,2,2
522,1,20,f,white,7,4
523,0,29,m,Asian,8,4
524,1,35,f,White,4,4
525,0,25,f,Caucasian,10,2
526,1,23,m,Caucasian,2,2
527,0,28,m,Caucasian,2,2
528,1,36,m,Caucasian,6,3
529,0,43,m,White,7,2
530,1,30,f,caucasian,0,3
531,0,32,f,white,5,4
532,1,49,m,white,6,4
533,0,29,m,white/asian,6,5
534,1,22,m,Mixed,4,1
535,0,21,m,white,0,1
536,1,22,f,White,10,3
537,0,18,m,African American,0,4
538,1,29,m,American,8,3
539,0,19,m,White,10,5
540,1,36,f,White,7,4
541,0,24,f,white,6,2
542,1,31,f,White,7,5
543,0,20,f,White,8,3
544,1,29,m,White,7,1
545,0,29,f,American,5,1
546,1,22,m,Asian,7,1
547,0,22,f,Caucasian,2,2
548,1,23,f,caucasian,2,2
