Subject,Cond,Round,Start,Borrow,Points,Guess,Used
79,1,3,48,6,4,8,54
79,1,4,42,5,4,9,47
79,1,5,31,0,2,4,0
80,2,1,15,10,1,3,25
80,2,2,10,4,2,3,14
80,2,3,8,5,2,2,13
80,2,4,2,0,0,0,0
82,0,1,15,3,2,2,18
82,0,2,14,2,1,3,16
82,0,3,12,0,3,3,12
82,0,4,12,2,3,3,14
82,0,5,8,0,1,1,0
84,2,1,15,6,1,2,21
84,2,2,12,2,1,2,14
84,2,3,11,8,2,4,19
84,2,4,3,0,1,1,0
86,0,1,15,3,1,2,18
86,0,2,14,0,3,3,14
86,0,3,14,2,1,3,16
86,0,4,11,0,2,3,0
87,1,1,50,0,2,5,47
87,1,2,50,0,3,4,37
87,1,3,50,0,1,1,22
87,1,4,50,0,3,6,47
87,1,5,50,0,3,7,0
88,3,1,50,0,1,1,23
88,3,2,50,3,1,3,53
88,3,3,50,4,2,4,54
88,3,4,50,10,3,6,60
88,3,5,43,0,3,4,0
89,2,1,15,5,2,2,20
89,2,2,13,2,2,3,15
89,2,3,11,2,3,5,13
89,2,4,9,2,1,2,11
89,2,5,5,0,0,0,0
92,2,1,15,26,3,4,41
92,2,2,2,0,2,2,0
93,3,1,50,0,4,7,35
93,3,2,50,0,1,4,25
93,3,3,50,0,2,7,32
93,3,4,50,0,3,6,35
93,3,5,50,0,3,9,0
97,3,1,50,2,3,9,52
97,3,2,49,0,2,9,26
97,3,3,50,10,3,6,60
97,3,4,50,1,3,6,51
97,3,5,48,0,1,10,0
99,1,1,50,0,2,2,21
99,1,2,50,0,4,4,25
99,1,3,50,0,1,4,50
99,1,4,50,0,2,4,41
99,1,5,50,0,3,8,0
100,2,1,15,14,1,2,29
100,2,2,8,11,2,3,19
100,2,3,1,0,0,0,0
102,0,1,15,10,2,4,25
102,0,2,10,0,2,5,0
103,1,1,50,3,3,6,53
103,1,2,49,0,4,4,35
103,1,3,50,0,1,3,32
103,1,4,50,0,2,6,41
103,1,5,50,0,0,5,0
105,3,1,50,2,2,5,52
105,3,2,49,0,2,5,48
105,3,3,50,0,1,7,44
105,3,4,50,2,2,8,52
105,3,5,50,0,2,12,0
106,0,1,15,5,1,3,20
106,0,2,13,8,2,4,21
106,0,3,7,0,1,2,0
107,1,1,50,17,3,8,67
107,1,2,42,3,2,5,45
107,1,3,40,2,3,6,42
107,1,4,37,5,4,7,42
107,1,5,27,0,3,4,0
108,2,1,15,3,2,5,18
108,2,2,14,2,3,4,16
108,2,3,12,2,1,4,14
108,2,4,10,0,2,2,0
109,3,1,50,0,2,7,22
109,3,2,50,0,2,6,25
109,3,3,50,0,2,7,22
109,3,4,50,0,3,3,0
110,0,1,15,3,1,1,18
110,0,2,14,7,2,3,21
110,0,3,9,0,3,3,0
