Subject,Large Acc,Income,House,SES2,Prime,Expense,Wait min
6,0,4,2,8,"0,1,0,1,1,",7,15
7,1,3,3,9,"1,0,0,0,0,",8,20
8,0,9,2,8,"0,1,0,0,0,",6,5
9,1,4,4,2,"1,1,0,0,0,",6,20
10,0,0,1,4,"0,1,0,0,0,",7,20
11,1,5,2,15,"1,1,0,0,0,",8,10
12,0,0,1,3,"0,1,1,1,1,",9,60
13,1,11,2,8,"1,1,0,1,0,",6,30
14,0,4,2,9,"0,1,0,1,1,",7,30
15,1,10,4,5,"1,1,0,0,0,",8,30
17,1,1,1,6,"1,0,0,0,0,",10,10
18,0,1,1,12,"0,1,1,0,1,",6,15
19,1,0,1,10,"1,0,0,0,0,",8,60
20,0,0,3,2,"1,1,1,1,1,",9,40
22,0,10,2,2.5,"0,1,1,1,1,",8,20
23,1,1,1,24,"1,1,0,0,0,",11,5
24,0,2,2,24,"1,1,1,1,1,",9,5
25,1,2,1,7,"1,1,0,0,0,",9,30
26,0,3,4,2,"1,1,0,1,0,",2,15
27,1,1,2,12,"1,1,0,0,0,",9,0
29,1,2,1,5,"1,1,0,0,0,",10,20
30,0,3,3,2,"1,1,0,1,1,",8,20
31,1,5,2,5,"1,1,0,0,0,",5,10
32,0,3,1,4,"1,1,1,1,1,",11,20
33,1,7,2,8,"1,1,0,0,0,",3,60
34,0,4,3,1,"1,1,1,0,1,",6,10
35,1,2,4,5,"1,1,0,0,0,",9,2
36,0,4,4,2,"1,1,0,1,1,",7,10
37,1,6,4,2,"1,1,0,0,0,",8,15
40,0,5,3,4,"1,1,1,1,1,",8,15
42,0,2,4,8,"0,0,1,0,1,",7,130
44,0,11,1,2,"0,0,0,1,1,",6,1
46,0,2,1,1.5,"0,1,0,1,1,",2,5
47,1,7,2,8,"1,1,0,0,0,",6,60
48,0,2,1,7,"1,1,1,1,1,",5,20
49,1,2,4,6,"0,1,0,0,0,",7,60
50,0,6,3,8,"1,1,0,1,1,",7,60
53,1,7,2,4,"1,1,0,0,0,",4,30
54,0,0,1,1,"0,1,0,0,0,",6,3
55,1,0,5,2,"0,1,0,1,1,",7,10
56,0,10,5,2,,10,30
57,1,5,1,3,"1,1,0,0,0,",6,30
58,0,2,3,5,"0,1,0,1,1,",11,20
59,1,3,4,12,"1,0,0,0,0,",2,15
60,0,1,2,4,"1,1,0,0,1,",6,60
61,1,5,2,12,"1,1,0,1,0,",2,10
62,0,0,1,20,"0,1,0,0,1,",3,0
63,1,2,2,1,"1,1,0,0,0,",4,30
64,0,4,2,2,"0,1,1,1,1,",9,30
65,1,6,4,5,"0,0,1,0,0,",6,20
66,0,7,1,8,"1,1,1,1,1,",6,5
67,1,9,6,6,"1,0,0,0,0,",2,150
68,0,1,2,6,"0,1,1,0,1,",7,45
69,1,2,4,5,"1,0,0,0,0,",6,30
71,1,10,4,3,"1,1,0,1,1,",6,5
72,0,0,5,2,"0,0,0,0,1,",3,80
75,1,1,2,234,,3,2
76,0,5,2,6,"1,1,0,1,1,",11,2
78,0,0,5,5,"0,1,0,0,1,",6,5
79,1,3,4,4,"1,1,0,0,0,",4,35
80,0,2,3,5,"0,1,1,0,1,",2,15
81,1,3,2,8,"1,1,0,1,0,",1,5
82,0,6,2,2,"0,1,0,1,0,",4,15
84,0,4,5,5,"1,1,1,1,1,",11,30
85,1,4,3,1,"1,1,0,0,0,",1,5
86,0,1,4,2,"1,1,0,0,1,",7,3
87,1,2,2,2,"1,1,0,0,0,",5,0
88,0,11,3,1,"0,1,1,1,0,",5,2
89,1,4,4,7,"1,1,1,1,0,",5,10
90,0,5,4,5,"0,1,0,1,1,",1,2
92,0,11,4,8,"0,1,1,1,1,",6,0
93,1,9,3,10,"1,0,0,0,0,",4,20
94,0,7,8,1,"0,1,1,1,1,",4,15
95,1,5,2,5,"1,1,0,0,0,",6,10
96,0,3,2,24,"0,1,1,1,1,",8,20
97,1,4,2,14,"1,1,0,0,0,",7,15
98,0,2,1,2,"0,1,0,0,0,",6,15
99,1,2,4,3.5,"1,1,0,0,0,",7,60
101,1,4,2,2,"1,1,0,1,0,",3,10
102,0,0,1,12,"1,1,0,0,1,",5,30
103,1,2,3,1,"1,1,0,0,0,",6,30
104,0,2,2,5,"1,1,1,1,1,",6,0
105,1,1,1,8.5,"1,1,0,1,0,",4,10
106,0,7,1,1.5,"1,1,1,1,1,",3,30
107,1,2,2,24,"1,1,0,0,0,",7,40
108,0,9,2,8.5,"1,1,1,1,1,",7,5
109,1,4,5,4,"1,1,0,0,0,",10,60
110,0,3,3,6,"1,1,0,1,0,",11,15
111,1,3,4,2,"1,1,0,0,0,",11,5
112,0,3,2,10,,1,10
113,1,8,2,6,"1,1,1,1,0,",5,30
114,0,3,1,3,"0,1,0,1,1,",1,0
115,1,6,3,4,"1,0,0,0,0,",2,0
116,0,1,3,5,"1,1,0,0,0,",9,120
117,1,6,2,7,"0,1,0,0,0,",5,6
119,1,10,5,4,"1,1,0,0,0,",8,60
120,0,8,4,5,"0,1,1,1,1,",4,30
122,0,9,3,10,"1,1,0,1,1,",7,5
123,1,10,3,2,"1,1,0,1,0,",3,5
124,0,2,2,4,"0,1,0,1,1,",3,5
125,1,5,3,0.5,"1,1,0,0,1,",5,3
126,0,4,3,3,"1,1,0,1,1,",5,10
127,1,2,2,5,"1,1,0,0,0,",5,20
128,0,4,2,4,"0,1,0,1,0,",1,30
129,1,1,1,20,"1,0,0,0,0,",10,10
130,0,1,4,5,"0,1,1,1,0,",3,10
131,1,4,1,3,"1,1,0,1,0,",3,10
132,0,5,3,3,"1,1,0,1,1,",4,45
133,1,9,4,1,"1,1,0,0,0,",5,5
134,0,1,2,4,"1,1,1,1,1,",9,15
136,0,3,7,2,"0,1,1,0,1,",9,30
137,1,0,1,2,"1,1,0,0,0,",8,15
138,0,3,4,12,"0,1,1,1,1,",6,100
139,1,0,5,10,"1,1,0,0,0,",9,5
140,0,1,1,2,"0,1,0,1,1,",3,10
141,1,4,3,24,"1,1,0,0,0,",4,45
142,0,2,1,4,"1,1,0,1,1,",9,45
143,1,3,3,3,"1,0,0,0,0,",8,120
144,0,7,2,3,"1,1,1,1,1,",5,15
145,1,9,2,4,"1,1,0,1,0,",5,15
146,0,2,2,1,"0,1,1,1,1,",4,30
147,1,1,1,5,"1,1,0,0,0,",8,60
148,0,7,2,5,"1,1,0,1,1,",5,30
149,1,4,1,6,"1,0,0,0,0,",1,5
150,0,7,2,8,"0,1,1,0,0,",7,10
153,0,1,1,5,"0,1,0,1,1,",7,5
154,1,4,1,3,"1,1,0,0,0,",2,5
156,1,2,4,4,"1,1,0,0,0,",2,20
157,0,0,1,6,"0,1,1,1,1,",7,5
158,1,5,5,4,"1,1,0,0,1,",3,10
159,0,2,3,3,"0,1,1,0,1,",3,15
160,1,4,3,6,"1,1,0,0,0,",6,80
161,0,3,3,6,"0,1,1,1,0,",4,10
163,0,0,5,15,"0,1,1,1,0,",1,0
164,1,1,1,4,"1,1,0,0,0,",9,10
166,1,7,4,2,"1,0,0,0,0,",4,45
167,0,10,2,3,"0,1,0,1,0,",8,15
169,0,6,2,8,"0,1,1,1,1,",8,0
170,1,11,4,3,"1,1,0,1,0,",3,20
171,0,4,4,4,"1,1,1,1,1,",8,5
172,1,2,2,4,"1,0,0,0,0,",7,30
173,0,10,4,10,"0,1,1,1,1,",3,20
